Paraná | Todos os Municípios;;;;;;;;;;;;;
;;;;;;;;;;;;;
Município [-];Código [-];Gentílico [-];Prefeito [2025];Área Territorial - km [2024];População no último censo - pessoas [2022];Densidade demográfica - hab/km [2022];População estimada - pessoas [2024];Escolarização 6 a 14 anos [2010];IDHM Índice de desenvolvimento humano municipal [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2023];Total de receitas brutas realizadas - [2023];Total de despesas brutas empenhadas - [2023];PIB per capita - [2021]
Abatiá;4100103;abatiense;SONIA APARECIDA DE SOUZA CHAVES;228,717;7241;31,66;7271;96,5;0,687;-;47733587,01;41659546,03;30140,55
Adrianópolis;4100202;adrianopolitano ou adrianopolense;VANDIR DE OLIVEIRA ROSA;1349,311;6256;4,64;6327;95,8;0,667;-;53663341,32;48779622,82;63631,39
Agudos do Sul;4100301;agudense-do-sul ou agudense;GENEZIO GONÇALVES DA LUZ;192,261;10233;53,22;10646;96,3;0,66;29,85;56439846,05;48989315,67;22674,09
Almirante Tamandaré;4100400;tamandareense;CAMILO DANIEL LOVATO;194,228;119825;616,93;124788;95,6;0,699;6,57;422273302,1;363215435;15947,74
Altamira do Paraná;4100459;altamirense;ELZA APARECIDA DA SILVA;386,945;3590;9,28;3543;97,5;0,667;21,28;39337787,13;31516744,42;67332,6
Altônia;4100509;altoniano;DIEGO JARDIM PERGO;661,56;18742;28,33;18750;99,7;0,721;4,9;102531584;94730535,72;20747,69
Alto Paraná;4100608;alto-paranaense;CLAUDEMIR JOIA PEREIRA;407,719;13909;34,11;14138;96;0,696;24,84;88937859,66;78405848,81;29192,99
Alto Piquiri;4100707;alto-piquirense;GIOVANE MENDES DE CARVALHO;447,666;9727;21,73;9802;97,7;0,676;16;64484961,27;55707732,46;42092,67
Alvorada do Sul;4100806;alvoradense-do-sul;MARCOS ANTONIO GASPARELLI;424,25;10326;24,34;10478;97,4;0,708;10,53;100435694;87951715,04;29176,4
Amaporã;4100905;amaporense;MARCOS MARIN;384,735;4762;12,38;4736;98,3;0,669;-;48799577,83;38976608,85;18911,54
Ampére;4101002;amperense;DOUGLAS DIEMS MOROCKOSKI POTRICH;298,349;19620;65,76;20199;99,3;0,709;18,12;121709989,5;102310509,8;38549,37
Anahy;4101051;anaiense;ARILSON BATISTA DE SOUZA;102,895;2918;28,36;2965;97,4;0,695;96,77;35959309,48;30151826,53;41475,92
Andirá;4101101;andiraense;EDNYRA APARECIDA SANCHES BUENO DE GODOY FERREIRA;235,944;19878;84,25;20044;99,1;0,725;9,17;143168119;128408460,4;41191,94
Ângulo;4101150;angulense;ALEXANDRE DE SOUSA PROFETA;106,021;3235;30,51;3332;100;0,721;25,64;48203982,04;36630284,54;52613,12
Antonina;4101200;antoninense;ROZANE MARISTELA BENEDETTI OSAKI;891,582;18091;20,29;18223;97,6;0,687;20,62;132839332,3;121095621,8;37048,49
Antônio Olinto;4101309;antoniolintense;FABIO STANISZEWSKI MACHIAVELLI;469,62;7018;14,94;7071;98,6;0,656;14,49;44936514,59;41324262,18;31445,78
Apucarana;4101408;apucaranense;RODOLFO MOTA DA SILVA;556,99;130134;233,64;134306;97,8;0,748;9,68;601344879,1;549055470,4;28189,54
Arapongas;4101507;araponguense;RAFAEL FELIPE CITA;382,215;119138;311,7;123863;97,3;0,748;11,5;673729889,9;544208248,2;39149,76
Arapoti;4101606;arapotiense;IRANI JOSE BARROS;1360,742;25777;18,98;26310;97,7;0,723;19,83;196137764,4;170719640;50824,66
Arapuã;4101655;arapuense;MANOEL SALVADOR;217,371;3527;16,23;3573;97,1;0,676;23,81;38679814,57;30829812,33;51561,44
Araruna;4101705;ararunense;GUSTAVO FRANÇA DOS SANTOS;493,191;14485;29,37;14824;99,1;0,704;17,65;87394811,75;72686581,27;39018,11
Araucária;4101804;araucariano;LUIZ GUSTAVO BOTOGOSKI;469,24;151666;323,22;160038;97,4;0,74;9,46;1953563421;1625304742;170125,52
Ariranha do Ivaí;4101853;ariranhense do ivaí;THIAGO EPIFANIO DA SILVA;234,075;2329;9,95;2351;99,4;0,67;35,71;36936098,57;29115337,11;63664,72
Assaí;4101903;assaiense;MICHEL ANGELO BOMTEMPO;440,347;13797;31,33;13643;98;0,728;-;76026353,68;60797441,88;36478,15
Assis Chateaubriand;4102000;assis-chateaubriense;MARCEL HENRIQUE MICHELETTO;980,727;36808;37,53;38105;98,6;0,729;13,73;216579291,7;196172972,6;49040,24
Astorga;4102109;astorgano;SUZIE APARECIDA PUCILLO ZANATTA;434,792;25475;58,59;26145;97,4;0,747;17,01;157424552,3;144634091,9;33567,88
Atalaia;4102208;atalaiense;CARLOS EDUARDO ARMELIN MARIANI;137,663;3980;28,91;4045;99,6;0,736;32,26;47041193,33;38683942,19;45806,54
Balsa Nova;4102307;balsa-novense;CLEVER APARECIDO IAVOLSKI POLETTO;348,926;13395;38,39;13871;87,4;0,696;6,54;84282386,83;74995728,7;69966,95
Bandeirantes;4102406;bandeirantense;JAELSON RAMALHO MATTA;445,192;31273;70,25;31807;97,8;0,727;2,8;159561521,9;141389472,6;33274,08
Barbosa Ferraz;4102505;barbosense;CARLOS ROSA ALVES;538,636;10795;20,04;10692;98,2;0,696;16,26;68857516,39;61716054,01;26524,95
Barracão;4102604;barraconense;JORGE LUIZ SANTIN;161,213;9759;60,53;9900;95,3;0,706;16,53;67490002,53;59403039,42;25538,63
Barra do Jacaré;4102703;barrense;LUIZ FABIANO ZANATTA;115,855;2814;24,29;2866;98,7;0,744;-;36139452,38;30509305,11;53994,67
Bela Vista da Caroba;4102752;bela-vistense;GELSON MAFFI;148,107;4031;27,22;4100;99,5;0,681;-;33368063,84;29759689,44;31414,33
Bela Vista do Paraíso;4102802;bela-vistense;FABRICIO PASTORE;242,689;14833;61,12;14998;97,3;0,716;10,64;107287796,3;94399536,58;34014,05
Bituruna;4102901;biturenense;RODRIGO ROSSONI;1276,14;15533;12,58;15689;98,2;0,667;7,72;170732792,5;121441585;33658,71
Boa Esperança;4103008;boa-esperansense;JOEL CELSO BUSCARIOL;302,89;4558;15,06;4622;99;0,72;24,39;55334271,81;45358447,41;71587,36
Boa Esperança do Iguaçu;4103024;boaesperencense;GIVANILDO TRUMI;151,797;2455;16,17;2448;98,3;0,7;34,48;39560681,89;37077907,86;58521,93
Boa Ventura de São Roque;4103040;boa venturense;NESTOR KENEAR;608,179;6378;10,28;6244;97,5;0,655;11,76;72276502,66;59704617,43;56993,31
Boa Vista da Aparecida;4103057;boa-vistense;EDUARDO JOSE HENRICHS;266,175;7924;29,77;8034;99,2;0,67;9,01;69015033,59;55446895,89;24632,62
Bocaiúva do Sul;4103107;bocaiuvense;JOAO DE LIMA;825,665;13299;16,11;13804;95,1;0,64;5,81;66104755,25;62351244,33;21066,48
Bom Jesus do Sul;4103156;bonjesuense;HELIO JOSE SURDI;176,129;3980;22,6;4061;99,4;0,697;-;43439792,02;32427213,03;33318,79
Bom Sucesso;4103206;bom-sucessense;ROSANA FERREIRA LOPES;322,755;6581;20,39;6677;95,5;0,686;37,5;54036265,93;50544365,34;22143,17
